Normalized,Occurrences,Lemma,POS,NormalizedID,MorphNotes,divine name?,divine name key,persname?,persname gender,persname type,persname key,persname link,title?,title type,title key,military?,military key,ethnicon?,ethnicon key,term of relationship?,relationship key,location?,location key,location link,date?,date type,calendar type,occupation?,occupation key,measure?,measure key,object?,object key,religious term?,religious term key,other?,other type,other key
,,,,,,"(y if yes) or historical, mythical, divine",,(y if yes),"(m, f, ?)","(Christian, Jewish, other, ?)",,,(y if yes),"(military, government, religious, honorific)",,,,,,,,,,,,"(month, day, year)",,,,,,,,,,,,
a,masa0941-20,a,X,w-a,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ac,caes0009-2,ac,CCONJ,w-ac,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adiutoribus,caes0682-3,adiutor,NOUN,w-adiutoribus,None,,,,,,,,,,,,,,,,,,,,,,,y,adiutor,,,,,,,,,
Aelio,"caes0011-1, caes0353-1, jeru0497-4",aelius,PROPN,w-aelio,None,,,y,m,other,Aelius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aemilia,nabl0001-7,aemilius,ADJ,w-aemilia,None,,,y,m,other,Aemilius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aemilius,masa0750-1,aemilius,PROPN,w-aemilius,None,,,y,m,other,Aemilius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africano,caes0107-10,africanus,PROPN,w-africano,None,,,y,m,other,Africanus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africanus,caes0009-17,africanus,PROPN,w-africanus,None,,,y,m,other,Africanus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africe,jeru0495-6,Africes,PROPN,w-africe,None,y,Africe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrippae,caes0032-6,agrippa,PROPN,w-agrippae,None,,,y,m,other,Agrippa,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrippam,caes0003-3,agrippa,PROPN,w-agrippam,None,,,y,m,other,Agrippa,,,,,,,,,,,,,,,,,,,,,,,,,,,
alae,tsha0001-2,aa,NOUN,w-alae,None,,,,,,,,,,,y,ala,,,,,,,,,,,,,,,,,,,,,
alam,yotv0001-14,ala,NOUN,w-alam,Case=accusative|Gender=feminine|Number=singular,,,,,,,,,,,y,ala,,,,,,,,,,,,,,,,,,,,,
Alamannico,maay0001-18,Alamannicus,PROPN,w-alamannico,None,,,,,,,,,,,,,y,tribe,,,,,,,,,,,,,,,,,,,
alis,unkn0130-29,ala,NOUN,w-alis,Case=ablative|Gender=feminine|Number=plural,,,,,,,,,,,y,ala,,,,,,,,,,,,,,,,,,,,,
amico,caes0002-10,amicus,NOUN,w-amico,Case=ablative|Gender=masculine|Number=singular,,,,,,,,,,,,,,,y,friend,,,,,,,,,,,,,,,,,
amineum,"masa0796-1, masa0797-2",amineus,ADJ,w-amineum,None,,,,,,,,,,,,,,,,,,,,,,,,,,,y,food,,,,,
amphorae,masa0826-6,amphora,PROPN,w-amphorae,None,,,,,,,,,,,,,,,,,,,,,,,,,,,y,utensil,,,,,
Anchararius,masa0755-1,Anchararius,PROPN,w-anchararius,None,,,y,m,other,Anchararius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancharius,"masa0751-1, masa0752-1, masa0753-1, masa0754-1",ancharius,PROPN,w-ancharius,None,,,y,m,other,Ancharius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annius,"masa0756-1, masa0757-1",annius,PROPN,w-annius,None,,,y,m,other,Annius,,,,,,,,,,,,,,,,,,,,,,,,,,,
annos,"emma0001-13, emma0001-16, nabl0001-17, nabl0002-8",annus,NOUN,w-annos,Case=accusative|Gender=masculine|Number=plural,,,,,,,,,,,,,,,,,,,,y,year,,,,,,,,,,,,
Antonini,"bani0003-4, bani0003-7, megi0002-15",Antoninos,PROPN,w-antonini,None,,,y,m,other,Antoninus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonini,ashk0003a-4,Antoninus,PROPN,w-antonini,None,,,y,m,other,Antoninus,,,,,,,,,,,,,,,,,,,,,,,,,,,
antoniniana,megi0002-25,antoniniana,PROPN,w-antoniniana,None,,,,,,,,,,,y,unitname,,,,,,,,,,,,,,,,,,,,,
antoninianae,"caes0018-16, jeru0554-25",antoniniana,PROPN,w-antoninianae,None,,,,,,,,,,,y,unitname,,,,,,,,,,,,,,,,,,,,,
Antonino,"ashk0003a-14, jeru0497-6",antoninus,PROPN,w-antonino,None,,,y,m,other,Antoninus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antoninus,unkn0131-5,antoninus,PROPN,w-antoninus,None,,,y,m,other,Antoninus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio,caes0107-4,antonius,PROPN,w-antonio,None,,,y,m,other,Antonius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aphrodilus,caes0164-1,Aphrodilus,PROPN,w-aphrodilus,None,,,y,m,other,Aphrodilus,,,,,,,,,,,,,,,,,,,,,,,,,,,
appellantur,unkn0130-35,appello,VERB,w-appellantur,Mood=indicative|Number=plural|Person=3rd|Tense=present|Voice=passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbaeus,caes0009-16,Arbaeus,PROPN,w-arbaeus,None,,,y,m,other,Arabaeus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armeniaca,unkn0130-49,Armeniacus,ADJ,w-armeniaca,None,,,,,,,,,,,,,y,Armenian,,,,,,,,,,,,,,,,,,,
Atilio,achz0001-19,atilius,PROPN,w-atilio,None,,,y,m,other,Atilius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aufidius,"caes0014-14, caes0017-14, masa0758-1, masa0759-1",aufidius,PROPN,w-aufidius,None,,,y,m,other,Aufidius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augindai,nabl0002-3,Augindaus,PROPN,w-augindai,None,,,y,m,other,Augindaus,,,,,,,,,,,,,,,,,,,,,,,,,,,
augures,caes0123-1,auguris,NOUN,w-augures,None,,,,,,,,y,religious,augur,,,,,,,,,,,,,y,augur,,,,,,,,,
auguri,jeru0497-12,augur,NOUN,w-auguri,Case=dative|Gender=masculine|Number=singular,,,,,,,,y,religious,augur,,,,,,,,,,,,,y,augur,,,,,,,,,
Augusta,"caes0024-2, unkn0130-44",augusta,PROPN,w-augusta,None,y,Augustus,y,m,other,Augustus,,y,government,Augustus,y,unitname,,,,,,,,,,,,,,,,,,,,,
Augustae,"caes0003-9, caes0044-4",augusta,PROPN,w-augustae,None,y,Augustus,y,m,other,Augustus,,y,government,Augustus,y,unitname,,,,,,,,,,,,,,,,,,,,,
Augustalibus,caes0122-7,Augustalis,ADJ,w-augustalibus,None,y,,,m,other,Augustalis,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augustalis,caes0122-3,Augustalis,PROPN,w-augustalis,None,y,,,m,other,Augustalis,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augusti,"achz0001-22, bani0003-5, bani0003-8, caes0002-3, caes0007-5, caes0011-6, caes0018-5, caes0020-2, caes0022-3, caes0031-3, caes0034-4, caes0035-3, caes0106-19, caes0107-7, jeru0494-9, jeru0494-15, kara0001-19, megi0002-16",augustus,PROPN,w-augusti,Case=nominative|Gender=masculine|Number=plural,y,Augustus,y,m,other,Augustus,,y,government,,,,,,,,,,,,,,,,,,,,,,,,
Augustis,ashk0003b-15,augustus,PROPN,w-augustis,Case=ablative|Gender=neuter|Number=plural,y,Augustus,y,m,other,Augustus,,y,government,,,,,,,,,,,,,,,,,,,,,,,,
Augusto,"ashk0003a-18, bshe0006-14, caes0006-9, caes0009-15, caes0027-4, caes0045-4, caes0047-5, caes0049-5, caes0053-4, caes0106-9, caes0107-13, caes0354-2, jeru0497-7, jeru0554-12, kara0001-9, maay0001-17, tsha0002-12",augustus,PROPN,w-augusto,Case=ablative|Gender=neuter|Number=singular,y,Augustus,y,m,other,Augustus,,y,government,,,,,,,,,,,,,,,,,,,,,,,,
Augustus,"achz0001-7, caes0051-5, caes0052-5, caes0054-5, cape0001-12, jeru0491-4, jeru0491-9, jeru0491-11, jeru0494-4, unkn0130-7, unkn0131-8, yotv0001-4, yotv0001-7",augustus,PROPN,w-augustus,Case=nominative|Gender=masculine|Number=singular,y,Augustus,y,m,other,Augustus,,y,government,,,,,,,,,,,,,,,,,,,,,,,,
Aureli,megi0002-14,Aurel,PROPN,w-aureli,None,,,y,m,other,Aurelius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurelio,"ashk0003a-13, ashk0003b-9, caes0009-9, caes0010-16",aurelius,PROPN,w-aurelio,None,,,y,m,other,Aurelius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurelius,"caes0007-6, unkn0131-4",aurelius,PROPN,w-aurelius,None,,,y,m,other,Aurelius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurreli,"bani0003-3, bani0003-6",Aurrelius,PROPN,w-aurreli,None,,,y,m,other,Aurelius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurunculeius,caes0002-9,aurunculeius,PROPN,w-aurunculeius,None,,,y,m,other,Aurelius,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,masa0941-21,b,X,w-b,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbarorum,maay0001-11,barbarus,NOUN,w-barbarorum,Case=genitive|Gender=neuter|Number=plural,,,,,,,,,,,,,y,generic,,,,,,,,,,,,,,,,,,,
Basso,"jeru0494-13, unkn0130-73",bassus,PROPN,w-basso,None,,,y,m,other,Bassus,,,,,,,,,,,,,,,,,,,,,,,,,,,
bene,"caes0163-1, nabl0001-23, nabl0002-11",bene,ADV,w-bene,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boethi,caes0030-2,boethus,PROPN,w-boethi,Case=nominative|Gender=masculine|Number=plural,,,y,m,other,Boethus,,,,,,,,,,,,,,,,,,,,,,,,,,,
bona,"caes0682-2, fiqg0002-2",bonus,ADJ,w-bona,Case=nominative|Gender=neuter|Number=plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bracaraugustanorum,unkn0130-65,bracaraugustani,PROPN,w-bracaraugustanorum,None,,,,,,,,,,,y,unitname,,,,,,,,,,,,,,,,,,,,,
Britannicus,unkn0131-11,britannicus,PROPN,w-britannicus,None,,,,,,,,,,,,,y,British,,,,,,,,,,,,,,,,,,,
Bubasti,megi0002-2,Bubastus,PROPN,w-bubasti,None,y,Bubastus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,masa0941-22,c,X,w-c,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caesar,"achz0001-2, caes0051-2, caes0052-2, caes0054-2, caes0352-1, cape0001-2, jeru0491-2, jeru0491-7, jeru0494-2, jeru0494-7, unkn0130-2, unkn0131-2",caesar,PROPN,w-caesar,None,,,y,m,other,Caesar,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caesare,"caes0047-2, caes0049-2, masa0795-6, masa0799-1",caesar,PROPN,w-caesare,None,,,y,m,other,Caesar,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caesarea,caes0024-3,caesarea,PROPN,w-caesarea,None,,,,,,,,,,,,,,,,,y,Caesarea,https://pleiades.stoa.org/places/678401,,,,,,,,,,,,,,
Caesareae,"caes0003-10, caes0044-5",caesarea,PROPN,w-caesareae,None,,,,,,,,,,,,,,,,,y,Caesarea,https://pleiades.stoa.org/places/678401,,,,,,,,,,,,,,
Caesares,yotv0001-13,caesar,PROPN,w-caesares,None,,,y,m,other,Caesar,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caesari,"ashk0003a-2, bshe0006-6, caes0006-2, caes0014-13, caes0017-13, caes0027-2, caes0106-2, caes0106-17, caes0107-2, caes0528-1, jeru0497-2, jeru0554-2, kara0001-2, tsha0002-2",caesar,PROPN,w-caesari,None,,,y,m,other,Caesar,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caesaribus,ashk0003b-2,caesar,PROPN,w-caesaribus,None,,,y,m,other,Caesar,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caesaris,megi0002-13,caesar,PROPN,w-caesaris,None,,,y,m,other,Caesar,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cai,nabl0001-5,caius,PROPN,w-cai,None,,,y,m,other,Caius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caio,"caes0006-3, caes0007-1, caes0018-1, caes0106-3, kara0001-3, kara0001-12",gaius,PROPN,w-caio,None,,,y,m,other,Caius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caius,"haif0020a-1, masa0831-1, nabl0001-3, nabl0001-19",caius,PROPN,w-caius,None,,,y,m,other,Caius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caius,caes0002-8,Caius,PROPN,w-caius,None,,,y,m,other,Caius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callaecorum,unkn0130-64,Callaeci,PROPN,w-callaecorum,None,,,,,,,,,,,y,unitname,y,tribe,,,,,,,,,,,,,,,,,,,
Callisto,caes0002-6,Calliste,PROPN,w-callisto,None,,,y,m,other,Calliste,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calpurniano,caes0010-2,Calpurnianum,PROPN,w-calpurniano,None,,,y,m,other,Calpurnianum,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camilia,emma0001-4,Camilia,PROPN,w-camilia,None,,,y,f,other,Camilia,,,,,,,,,,,,,,,,,,,,,,,,,,,
campestris,masa0830-1,campestra,PROPN,w-campestris,None,,,,,,,,,,,,,,,,,,,,,,,,,,,y,food,,,,,
Cantabrorum,unkn0130-61,Cantabri,PROPN,w-cantabrorum,None,,,,,,,,,,,y,unitname,y,tribe,,,,,,,,,,,,,,,,,,,
Capricorno,tsha0001-1,capricornus,PROPN,w-capricorno,None,y,Capricornus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casesari,kara0001-17,Casesarus,PROPN,w-casesari,None,,,y,m,other,Caesar,,,,,,,,,,,,,,,,,,,,,,,,,,,
causa,"caes0002-7, caes0031-18",causa,NOUN,w-causa,Case=ablative|Gender=feminine|Number=singular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caustri,masa0948-2,Causter,NOUN,w-caustri,None,,,y,m,other,Causter,,,,,,,,,,,,,,,,,,,,,,,,,,,
censor,unkn0130-16,censor,NOUN,w-censor,Case=nominative|Gender=masculine|Number=singular,,,,,,,,y,government,censor,,,,,,,,,,,,,,,,,,,,,,,
censori,caes0027-11,censor,NOUN,w-censori,Case=dative|Gender=masculine|Number=singular,,,,,,,,y,government,censor,,,,,,,,,,,,,,,,,,,,,,,
centurio,"caes0007-8, caes0119-4, caes0146-13, caes0148-6, caes0350-2",centurio,NOUN,w-centurio,Mood=indicative|Number=singular|Person=1st|Tense=present|Voice=active,,,,,,,,y,military,centurion,y,rank,,,,,,,,,,,,,,,,,,,,,
civitatem,unkn0130-91,ciuitas,NOUN,w-civitatem,None,,,,,,,,y,military,centurion,y,rank,,,,,,,,,,,,,,,,,,,,,
Claudio,"caes0021-2, caes0145-2",claudius,PROPN,w-claudio,None,,,y,m,other,Claudius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claudius,caes0146-11,claudius,PROPN,w-claudius,None,,,y,m,other,Claudius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clemens,caes0006-10,clemens,PROPN,w-clemens,Case=nominative|Gender=neuter|Number=singular,,,y,m,other,Clemens,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleopatra,caes0044-8,cleopatra,PROPN,w-cleopatra,None,,,y,f,other,Cleopatra,,,,,,,,,,,,,,,,,,,,,,,,,,,
cohors,jeru0494-18,cohors,NOUN,w-cohors,Case=nominative|Gender=feminine|Number=singular,,,,,,,,,,,y,cohors,,,,,,,,,,,,,,,,,,,,,
cohortibus,unkn0130-32,cohors,NOUN,w-cohortibus,Case=ablative|Gender=feminine|Number=plural,,,,,,,,,,,y,cohors,,,,,,,,,,,,,,,,,,,,,
Coloniae,"caes0003-6, caes0044-1, caes0122-4",colonia,PROPN,w-coloniae,Case=nominative|Gender=feminine|Number=plural,,,,,,,,,,,,,,,,,y,generic,,,,,,,,,,,,,,,
coloniae,"caes0003-6, caes0044-1, caes0122-4",colonia,NOUN,w-coloniae,Case=nominative|Gender=feminine|Number=plural,,,,,,,,,,,,,,,,,y,generic,,,,,,,,,,,,,,,
coniugi,"caes0148-2, caes0160-4",coniux,NOUN,w-coniugi,None,,,,,,,,,,,,,,,y,marriage,,,,,,,,,,,,,,,,,
Constans,megi0002-24,constans,PROPN,w-constans,None,,,y,m,other,Constans,,,,,,,,,,,,,,,,,,,,,,,,,,,
Constantio,caes0017-8,Constantius,PROPN,w-constantio,None,,,y,m,other,Constantius,,,,,,,,,,,,,,,,,,,,,,,,,,,
constantis,caes0146-10,constans,ADJ,w-constantis,None,,,y,m,other,Constans,,,,,,,,,,,,,,,,,,,,,,,,,,,
Constantius,yotv0001-9,constantius,PROPN,w-constantius,None,,,y,m,other,Constantius,,,,,,,,,,,,,,,,,,,,,,,,,,,
constituerunt,yotv0001-17,constituo,VERB,w-constituerunt,Mood=indicative|Number=plural|Person=3rd|Tense=perfect|Voice=active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
consul,"achz0001-16, unkn0130-18, unkn0131-20",consul,NOUN,w-consul,Case=nominative|Gender=masculine|Number=singular,,,,,,,,y,government,consul,,,,,,,,,,,,,,,,,,,,,,,
consularis,caes0030-3,consularis,ADJ,w-consularis,Case=accusative|Gender=masculine|Number=plural,,,,,,,,y,government,consul,,,,,,,,,,,,,,,,,,,,,,,
consuli,"caes0027-9, caes0107-17, jeru0554-18, tsha0002-20",consul,NOUN,w-consuli,Case=dative|Gender=masculine|Number=singular,,,,,,,,y,government,consul,,,,,,,,,,,,,,,,,,,,,,,
consultissimo,"caes0014-3, caes0017-3",consuls,ADJ,w-consultissimo,None,,,,,,,,y,government,consul,,,,,,,,,,,,,,,,,,,,,,,
conubium,unkn0130-94,connubium,NOUN,w-conubium,None,,,,,,,,,,,,,,,y,marriage,,,,,,,,,,,,,,,,,
cum,yotv0001-15,cum,ADP,w-cum,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumana,masa0825-2,Cimanus,ADJ,w-cumana,None,,,y,m,other,Cimanus,,,,,,,,,,,,,,,,,,,,,,,,,,,
curatori,caes0035-8,curator,NOUN,w-curatori,Case=dative|Gender=masculine|Number=singular,,,,,,,,y,military,curator,,,,,,,,,,,,,,,,,,,,,,,
curiarum,maay0001-6,curia,NOUN,w-curiarum,Case=genitive|Gender=feminine|Number=plural,,,,,,,,,,,,,,,,,,,,,,,,,,,y,building,,,,,
custodiarum,caes0682-5,custodia,NOUN,w-custodiarum,Case=genitive|Gender=feminine|Number=plural,,,,,,,,y,military,curator,y,rank,,,,,,,,,,,,,,,,,,,,,
Cyrenaicae,caes0035-7,Cyrenaicus,ADJ,w-cyrenaicae,None,,,,,,,,,,,y,unitname,y,Cyrenaean,,,,,,,,,,,,,,,,,,,
d,masa0941-23,d,X,w-d,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damas,caes0146-22,Damas,PROPN,w-damas,None,,,y,m,other,Damas,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damascena,unkn0130-48,Damascena,NOUN,w-damascena,None,,,,,,,,,,,y,unitname,,,,,y,Damascus,https://pleiades.stoa.org/places/678106,,,,,,,,,,,,,,
de,"caes0037-6, tsha0001-9",de,ADP,w-de,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decreto,"caes0003-13, caes0010-12, caes0011-11, caes0122-10, jeru0497-13",decretum,NOUN,w-decreto,Case=ablative|Gender=neuter|Number=singular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decurione,caes0010-22,decurio,NOUN,w-decurione,Case=ablative|Gender=masculine|Number=singular,,,,,,,,y,military,decurion,y,rank,,,,,,,,,,,,,,,,,,,,,
decurionum,"caes0003-14, caes0010-13, caes0122-11, jeru0497-14",decurio,NOUN,w-decurionum,Case=genitive|Gender=masculine|Number=plural,,,,,,,,y,military,decurion,y,rank,,,,,,,,,,,,,,,,,,,,,
decurionum,caes0011-12,decurionum,NOUN,w-decurionum,None,,,,,,,,y,military,decurion,y,rank,,,,,,,,,,,,,,,,,,,,,
dedit,unkn0130-92,do,VERB,w-dedit,Mood=indicative|Number=singular|Person=3rd|Tense=perfect|Voice=active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dedit,caes0037-9,deditus,NOUN,w-dedit,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deiotariana,caes0046-4,deiotariana,NUM,w-deiotariana,None,,,,,,,,,,,y,unitname,,,,,,,,,,,,,,,,,,,,,
deum,megi0002-18,deus,PROPN,w-deum,Case=genitive|Gender=masculine|Number=plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,god,,,
devotissimus,bshe0006-25,deuotus,ADJ,w-devotissimus,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,offer,,,
devotus,"caes0006-14, caes0014-21, caes0017-21, caes0019-3, caes0029-1",deuotus,ADJ,w-devotus,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,offer,,,
