Normalized,Occurrences,Lemma,POS,NormalizedID,MorphNotes,divine name?,divine name key,persname?,persname gender,persname type,persname key,persname link,title?,title type,title key,military?,military key,ethnicon?,ethnicon key,term of relationship?,relationship key,location?,location key,location link,date?,date type,calendar type,occupation?,occupation key,measure?,measure key,object?,object key,religious term?,religious term key,other?,other type,other key
posuit,nabl0001-25,pono,VERB,w-posuit,Mood=indicative|Number=singular|Person=3rd|Tense=perfect|Voice=active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potentis,caes0146-4,Potens,ADJ,w-potentis,Case=accusative|Gender=masculine|Number=plural,,,y,m,other,Potens,,,,,,,,,,,,,,,,,,,,,,,,,,,
potestate,"achz0001-11, caes0027-15, caes0107-16, jeru0554-16, tsha0002-16, unkn0130-12",potestas,NOUN,w-potestate,Case=ablative|Gender=feminine|Number=singular,,,,,,,,y,government,potentate,,,,,,,,,,,,,,,,,,,,,,,
potestatis,"ashk0003a-20, unkn0131-16",potestas,NOUN,w-potestatis,Case=genitive|Gender=feminine|Number=singular,,,,,,,,y,government,potentate,,,,,,,,,,,,,,,,,,,,,,,
praefecti,caes0146-5,praefectus,NOUN,w-praefecti,Case=nominative|Gender=masculine|Number=plural,,,,,,,,y,government,prefect,,,,,,,,,,,,,,,,,,,,,,,
praefecto,"caes0010-5, caes0022-8",praefectus,NOUN,w-praefecto,Case=ablative|Gender=masculine|Number=singular,,,,,,,,y,government,prefect,,,,,,,,,,,,,,,,,,,,,,,
praefectus,jeru0491-12,praefectus,ADJ,w-praefectus,Case=nominative|Gender=masculine|Number=singular,,,,,,,,y,government,prefect,,,,,,,,,,,,,,,,,,,,,,,
praefectus,"caes0043-5, tsha0001-7",praefectus,NOUN,w-praefectus,Case=nominative|Gender=masculine|Number=singular,,,,,,,,y,government,prefect,,,,,,,,,,,,,,,,,,,,,,,
praesentissimum,megi0002-17,praesens,ADJ,w-praesentissimum,Case=genitive|Gender=masculine|Degree=superlative|Number=plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
praeses,"bshe0006-17, caes0009-20, caes0014-18, caes0017-18",praeses,NOUN,w-praeses,None,,,,,,,,y,government,governor,,,,,,,,,,,,,,,,,,,,,,,
praesidis,yotv0001-21,praeses,NOUN,w-praesidis,None,,,,,,,,y,government,governor,,,,,,,,,,,,,,,,,,,,,,,
praetore,"achz0001-24, caes0018-7, caes0020-4, caes0022-5, caes0031-5, caes0034-6, jeru0494-17",praetor,NOUN,w-praetore,Case=ablative|Gender=masculine|Number=singular,,,,,,,,y,government,praetor,,,,,,,,,,,,,,,,,,,,,,,
praetorio,jeru0491-13,praetorius,PROPN,w-praetorio,Case=ablative|Gender=masculine|Number=singular,,,,,,,,y,government,praetor,,,,,,,,,,,,,,,,,,,,,,,
primae,caes0044-2,prima,NOUN,w-primae,None,,,,,,,,,,,y,unitname,,,,,,,,,,,,,,,,,,,,,
primi,caes0032-7,primus,ADJ,w-primi,Case=nominative|Gender=masculine|Number=plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
primo,caes0145-4,primus,ADJ,w-primo,Case=ablative|Gender=neuter|Number=singular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
primus,megi0002-28,primus,ADJ,w-primus,Case=nominative|Gender=masculine|Number=singular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
principi,"caes0014-5, caes0017-5",principium,NOUN,w-principi,Case=nominative|Gender=neuter|Number=plural,,,,,,,,y,government,princeps,,,,,,,,,,,,,,,,,,,,,,,
principi,caes0009-5,princeps,NOUN,w-principi,Case=dative|Gender=masculine|Number=singular,,,,,,,,y,government,princeps,,,,,,,,,,,,,,,,,,,,,,,
Prisci,yotv0001-20,priscus,PROPN,w-prisci,Case=nominative|Gender=masculine|Number=plural,,,y,m,other,Priscus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Priscus,"caes0014-15, caes0017-15",priscus,PROPN,w-priscus,Case=nominative|Gender=masculine|Number=singular,,,y,m,other,Priscus,,,,,,,,,,,,,,,,,,,,,,,,,,,
pro,"achz0001-23, caes0018-6, caes0020-3, caes0022-4, caes0031-4, caes0031-13, caes0034-5, caes0122-5, jeru0494-16, jeru0495-1, megi0002-6",pro,ADP,w-pro,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proconsul,unkn0131-24,proconsul,NOUN,w-proconsul,Case=nominative|Gender=masculine|Number=singular,,,,,,,,y,government,proconsul,y,rank,,,,,,,,,,,,,,,,,,,,,
proconsule,caes0107-18,proconsule,NOUN,w-proconsule,None,,,,,,,,y,government,proconsul,y,rank,,,,,,,,,,,,,,,,,,,,,
Procula,caes0032-10,Procula,NUM,w-procula,None,,,y,f,other,Procula,,,,,,,,,,,,,,,,,,,,,,,,,,,
procurator,"caes0006-13, caes0146-17",procurator,NOUN,w-procurator,Case=nominative|Gender=masculine|Number=singular,,,,,,,,y,government,procurator,,,,,,,,,,,,,,,,,,,,,,,
procuratori,"caes0007-4, caes0011-5",procurator,NOUN,w-procuratori,Case=dative|Gender=masculine|Number=singular,,,,,,,,y,government,procurator,,,,,,,,,,,,,,,,,,,,,,,
Protianus,caes0146-12,Protianus,PROPN,w-protianus,None,,,y,m,other,Protianus,,,,,,,,,,,,,,,,,,,,,,,,,,,
providentiam,yotv0001-19,prouidentia,NOUN,w-providentiam,None,y,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
providentissimo,"bshe0006-2, caes0009-3",providentus,ADJ,w-providentissimo,None,y,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
provinciae,"bshe0006-18, caes0009-21, caes0014-19, caes0017-19, caes0020-5, caes0032-1, caes0033-3, yotv0001-22",prouincia,NOUN,w-provinciae,None,,,,,,,,,,,,,,,,,y,generic,,,,,,,,,,,,,,,
publica,caes0010-15,publicus,ADJ,w-publica,Case=nominative|Gender=neuter|Number=plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
publica,caes0003-16,publica,NOUN,w-publica,Case=ablative|Gender=feminine|Number=singular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
publicae,maay0001-9,publicus,ADJ,w-publicae,Case=nominative|Gender=feminine|Number=plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publius,emma0001-1,publius,PROPN,w-publius,None,,,y,m,other,Publius,,,,,,,,,,,,,,,,,,,,,,,,,,,
quae,unkn0130-34,qui,PRON,w-quae,Case=nominative|Gender=feminine|Number=plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
que,caes0019-6,que,CCONJ,w-que,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qui,"unkn0130-23, unkn0130-74",qui,PRON,w-qui,Case=nominative|Gender=masculine|Number=plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quina,unkn0130-75,quinus,ADJ,w-quina,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quirina,caes0018-12,quirinus,ADJ,w-quirina,None,,,,,,,,,,,,,y,tribe,,,,,,,,,,,,,,,,,,,
quorum,unkn0130-83,qui,PRON,w-quorum,Case=genitive|Gender=masculine|Number=plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravenna,emma0001-6,Ravena,PROPN,w-ravenna,None,,,,,,,,,,,,,,,,,y,Ravenna,https://pleiades.stoa.org/places/393480,,,,,,,,,,,,,,
recreatori,maay0001-10,recreator,NOUN,w-recreatori,Case=dative|Gender=masculine|Number=singular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
refecit,tsha0001-11,reficio,VERB,w-refecit,Mood=indicative|Number=singular|Person=3rd|Tense=perfect|Voice=active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rei,maay0001-8,res,NOUN,w-rei,Case=dative|Gender=feminine|Number=singular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
restauratori,maay0001-5,restauratus,NOUN,w-restauratori,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
restituit,ashk0003a-24,restituo,VERB,w-restituit,Mood=indicative|Number=singular|Person=3rd|Tense=present|Voice=active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retituit,unkn0131-28,retituo,VERB,w-retituit,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhodope,caes0160-3,rhodope,PROPN,w-rhodope,None,,,y,f,other,Rhodope,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romani,maay0001-1,romanus,PROPN,w-romani,None,,,,,,,,,,,,,y,Roman,,,,,,,,,,,,,,,,,,,
Romano,"caes0010-20, caes0107-9",romanus,ADJ,w-romano,None,,,,,,,,,,,,,y,Roman,,,,,,,,,,,,,,,,,,,
Romano,"caes0010-20, caes0107-9",romanus,PROPN,w-romano,None,,,,,,,,,,,,,y,Roman,,,,,,,,,,,,,,,,,,,
Rufo,achz0001-20,rufus,PROPN,w-rufo,Case=ablative|Gender=neuter|Number=singular,,,y,m,other,Rufus,,,,,,,,,,,,,,,,,,,,,,,,,,,
sagittariorum,unkn0130-53,sagittarius,NOUN,w-sagittariorum,Case=genitive|Gender=masculine|Number=plural,y,Sagittarius,,,,,,,,,y,unitname,,,,,,,,,,,,,,,,,,,,,
salute,"jeru0495-2, megi0002-7",salus,NOUN,w-salute,Case=ablative|Gender=feminine|Number=singular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salutem,bani0003-1,salus,PROPN,w-salutem,Case=accusative|Gender=feminine|Number=singular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanctianus,tsha0001-6,Sanctianus,PROPN,w-sanctianus,None,,,y,m,other,Sanctianus,,,,,,,,,,,,,,,,,,,,,,,,,,,
sancto,caes0683-1,sanctus,ADJ,w-sancto,Case=ablative|Gender=masculine|Number=singular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,holy,,,
Sarapidem,megi0002-20,Sarapis,PROPN,w-sarapidem,None,y,Sarapis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarmatico,maay0001-22,Sarmaticus,PROPN,w-sarmatico,None,,,,,,,,,,,,,y,Sarmatian,,,,,,,,,,,,,,,,,,,
secundi,caes0146-27,secundus,ADJ,w-secundi,Case=nominative|Gender=masculine|Number=plural,,,,,,,,,,,,,,,y,heir,,,,,,,,,,,,,,,,,
semper,"bshe0006-12, bshe0006-24",semper,ADV,w-semper,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semproniano,caes0107-8,Sempronianum,PROPN,w-semproniano,None,,,y,m,other,Sempronianum,,,,,,,,,,,,,,,,,,,,,,,,,,,
septem,unkn0130-33,septem,NUM,w-septem,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
servus,masa0834-1,seruus,NOUN,w-servus,None,,,,,,,,,,,,,,,y,slave,,,,,,,,,,,,,,,,,
severi,ashk0003a-9,seuerus,PROPN,w-severi,None,,,,,,,,,,,,,,,y,slave,,,,,,,,,,,,,,,,,
sevir,caes0122-2,seuir,NOUN,w-sevir,None,,,,,,,,y,government,sexvir,,,,,,,,,,,,,,,,,,,,,,,
Sexto,"caes0022-1, jeru0494-11",sextus,PROPN,w-sexto,Case=ablative|Gender=neuter|Number=singular,,,y,m,other,Sextus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sextus,"mare0401-1, mare0402-1, mare0403-1",sextus,PROPN,w-sextus,Case=nominative|Gender=masculine|Number=singular,,,y,m,other,Sextus,,,,,,,,,,,,,,,,,,,,,,,,,,,
singularibus,caes0031-14,singularis,ADJ,w-singularibus,Case=ablative|Gender=masculine|Number=plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
situs,emma0001-19,situs,NOUN,w-situs,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spes,"caes0682-1, fiqg0002-1",spes,PROPN,w-spes,Case=accusative|Gender=feminine|Number=plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stipendia,unkn0130-78,stipendium,NOUN,w-stipendia,Case=nominative|Gender=neuter|Number=plural,,,,,,,,,,,,,,,,,,,,,,,,,,,y,financial,,,,,
stipendiorum,nabl0001-14,stipendium,NOUN,w-stipendiorum,Case=genitive|Gender=neuter|Number=plural,,,,,,,,,,,,,,,,,,,,,,,,,,,y,financial,,,,,
Stobis,nabl0001-9,Stos,PRON,w-stobis,None,,,y,m,other,Stobis,,,,,,,,,,,,,,,,,,,,,,,,,,,
strator,caes0007-9,strator,NOUN,w-strator,Case=nominative|Gender=masculine|Number=singular,,,,,,,,y,military,strator,y,rank,,,,,,,,,,,,,,,,,,,,,
sua,caes0037-5,suus,DET,w-sua,Case=nominative|Gender=neuter|Number=plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub,unkn0130-70,sub,ADP,w-sub,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subscripta,unkn0130-85,subscribo,VERB,w-subscripta,Case=nominative|Gender=neuter|Mood=participle|Number=plural|Tense=perfect|Voice=passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunt,"unkn0130-67, unkn0130-86",sum,VERB,w-sunt,Mood=indicative|Number=plural|Person=3rd|Tense=present|Voice=active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suo,caes0037-7,suus,DET,w-suo,Case=ablative|Gender=neuter|Number=singular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suo,caes0002-11,suo,NOUN,w-suo,Mood=indicative|Number=singular|Person=1st|Tense=present|Voice=active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suri,masa0948-3,syrii,PROPN,w-suri,None,,,,,,,,,,,,,,,,,y,Syria,https://pleiades.stoa.org/places/991407,,,,,,,,,,,,,,
Suriae,bshe0006-19,syria,PROPN,w-suriae,None,,,,,,,,,,,,,,,,,y,Syria,https://pleiades.stoa.org/places/991407,,,,,,,,,,,,,,
Symphorus,caes0146-24,Symphorus,PROPN,w-symphorus,None,,,y,m,other,Symphorus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syriae,"caes0018-8, caes0020-6, caes0022-6, caes0032-2, caes0033-4, caes0036-2, caes0351-1, yotv0001-23",syria,PROPN,w-syriae,None,,,,,,,,,,,,,,,,,y,Syria,https://pleiades.stoa.org/places/991407,,,,,,,,,,,,,,
templorum,maay0001-4,templum,NOUN,w-templorum,Case=genitive|Gender=neuter|Number=plural,,,,,,,,,,,,,,,,,,,,,,,,,,,y,building,y,temple,,,
templum,jeru0495-4,templum,NOUN,w-templum,Case=genitive|Gender=neuter|Number=plural,,,,,,,,,,,,,,,,,,,,,,,,,,,y,building,y,temple,,,
testamento,caes0044-7,testamentum,NOUN,w-testamento,Case=ablative|Gender=neuter|Number=singular,,,,,,,,,,,,,,,,,,,,,,,,,,,y,financial,,,,,
Theodoru,caes0517-1,Theodorus,PROPN,w-theodoru,None,,,y,m,other,Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theophilo,caes0010-18,theophilus,PROPN,w-theophilo,None,,,y,m,other,Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thraciae,caes0035-1,Thracia,PROPN,w-thraciae,None,,,,,,,,,,,y,unitname,y,Thracia,,,,,,,,,,,,,,,,,,,
Thracum,"unkn0130-37, unkn0130-58",thraces,PROPN,w-thracum,None,,,,,,,,,,,y,unitname,y,Thracia,,,,,,,,,,,,,,,,,,,
Tiberianus,caes0148-5,Tiberianus,PROPN,w-tiberianus,None,,,y,m,other,Tiberius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiberieum,caes0043-2,Tiberieus,PROPN,w-tiberieum,None,,,,,,,,,,,,,,,,,y,building,,,,,,,,,,,y,Tibereium,,,
Tiberio,"caes0021-1, caes0145-1",tiberius,PROPN,w-tiberio,None,,,y,m,other,Tiberius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timesitheo,caes0007-3,Timesitheus,PROPN,w-timesitheo,None,,,y,m,other,Timesthius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titiae,caes0161-1,Titiae,PROPN,w-titiae,None,,,y,m,other,Titus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titiano,caes0018-3,titianus,PROPN,w-titiano,None,,,y,m,other,Titianus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tito,"achz0001-18, caes0002-1, jeru0497-3, unkn0130-71",titus,PROPN,w-tito,None,,,y,m,other,Titus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titus,"jeru0491-6, jeru0494-6",titus,PROPN,w-titus,None,,,y,m,other,Titus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traianae,caes0047-9,Traianus,ADJ,w-traianae,None,,,y,m,other,Traianus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traiani,"cape0001-4, jeru0554-4, tsha0002-4",Traianus,PROPN,w-traiani,None,,,y,m,other,Traianus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traiano,"caes0045-2, caes0047-3, caes0049-3, caes0053-2, jeru0554-10, tsha0002-10",Traianum,PROPN,w-traiano,None,,,y,m,other,Traianus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traianus,"caes0051-3, caes0052-3, caes0054-3, cape0001-10",traianus,PROPN,w-traianus,None,,,y,m,other,Traianus,,,,,,,,,,,,,,,,,,,,,,,,,,,
tranquillitati,caes0009-23,tranquillitas,NOUN,w-tranquillitati,Case=dative|Gender=feminine|Number=singular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tribunicia,"achz0001-10, caes0027-14, caes0107-15, jeru0554-15, tsha0002-15, unkn0130-11, unkn0131-15",tribunicius,ADJ,w-tribunicia,Case=nominative|Gender=neuter|Number=plural,,,,,,,,y,"government, military",tribune,y,rank,,,,,,,,,,,,,,,,,,,,,
tribuniciae,ashk0003a-19,tribunicius,ADJ,w-tribuniciae,Case=nominative|Gender=feminine|Number=plural,,,,,,,,y,"government, military",tribune,y,rank,,,,,,,,,,,,,,,,,,,,,
tudo,caes0062-6,tudo,NOUN,w-tudo,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uxori,caes0161-4,uxor,NOUN,w-uxori,Case=dative|Gender=feminine|Number=singular,,,,,,,,,,,,,,,y,wife,,,,,,,,,,,,,,,,,
Valens,nabl0001-21,ualens,PROPN,w-valens,None,,,y,m,other,Valens,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valentinae,caes0148-1,ualentina,PROPN,w-valentinae,None,,,y,f,other,Valentia,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valeriano,caes0009-10,Valerianus,PROPN,w-valeriano,None,,,y,m,other,Valerianus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valerio,"ashk0003b-5, ashk0003b-10, bshe0006-8, caes0006-4, caes0010-1, caes0014-7, caes0017-7",ualerius,PROPN,w-valerio,None,,,y,m,other,Valerius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valerius,"bshe0006-15, nabl0001-4, nabl0001-20",ualerius,PROPN,w-valerius,None,,,y,m,other,Valerius,,,,,,,,,,,,,,,,,,,,,,,,,,,
vere,megi0002-3,uere,ADV,w-vere,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vero,"caes0106-5, caes0106-14, kara0001-5, kara0001-14",uero,ADV,w-vero,None,,,y,m,other,Verius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vespasiani,"achz0001-4, jeru0494-8, unkn0130-4",uespasianus,PROPN,w-vespasiani,None,,,y,m,other,Vespasianus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vespasiano,caes0027-3,uespasianus,PROPN,w-vespasiano,None,,,y,m,other,Vespasianus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vespasianus,"jeru0491-3, jeru0491-8, jeru0494-3",uespasianus,PROPN,w-vespasianus,None,,,y,m,other,Vespasianus,,,,,,,,,,,,,,,,,,,,,,,,,,,
veterana,unkn0130-40,ueteranus,ADJ,w-veterana,None,,,,,,,,,,,y,veteran,,,,,,,,,,,,,,,,,,,,,
vexillatio,"caes0045-5, caes0047-6, caes0049-6, caes0053-5",vexillatio,NOUN,w-vexillatio,Case=nominative|Gender=feminine|Number=singular,,,,,,,,,,,y,vexillation,,,,,,,,,,,,,,,,,,,,,
vexillationem,"caes0051-8, caes0052-8, caes0054-7",vexillatio,NOUN,w-vexillationem,Case=accusative|Gender=feminine|Number=singular,,,,,,,,,,,y,vexillation,,,,,,,,,,,,,,,,,,,,,
viae,caes0035-9,uia,NOUN,w-viae,None,,,,,,,,,,,,,,,,,,,,,,,,,,,y,travel,,,,,
vias,"ashk0003a-21, unkn0131-25",uia,NOUN,w-vias,None,,,,,,,,,,,,,,,,,,,,,,,,,,,y,travel,,,,,
vicena,unkn0130-77,uicenus,ADJ,w-vicena,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victorinus,caes0020-10,Victorinus,NOUN,w-victorinus,None,,,y,m,other,Victorinus,,,,,,,,,,,,,,,,,,,,,,,,,,,
victoriosissimoque,caes0009-4,victoriosissimum,NOUN,w-victoriosissimoque,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vir,"caes0006-11, caes0009-18, caes0014-16, caes0017-16",uir,NOUN,w-vir,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
viro,"caes0010-3, caes0011-3, caes0037-3",uir,NOUN,w-viro,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vixit,nabl0001-16,uigesco,VERB,w-vixit,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vixit,"emma0001-12, nabl0002-7",uiuo,VERB,w-vixit,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,offering,,,
vota,maay0001-33,uotum,NOUN,w-vota,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,offering,,,
votum,haif0020a-2,votus,ADJ,w-votum,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,